Unnamed: 0,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_encoded,Private_encoded,Outstate_Tier_encoded_scaled,Private_encoded_scaled,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_trans,Private_encoded_trans,Private_encoded_scaled_trans,Accept_Rate_trans_scaled,Private_encoded_trans_scaled,Private_encoded_scaled_trans_scaled
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,0.06757799441907153,0.18791038995419446,0.05625345047371651,0.7305835658560428,-0.012629969739564912,-0.6715325760288845,1.408847795869445,-0.22914901677242944,-1.4016694654541817,0.5546527948873138,0.5120879513281108,-0.6792077728800088,0.7420738947418721,0.6391344042892935,0.8227482678983834,High,2,1,1.8150779933081982,0.6125530498969481,0.06757799441907118,0.18791038995419454,0.056253450473715834,0.7305835658560423,-0.012629969739564454,-0.6715325760288846,1.4088477958694443,-0.22914901677242913,-1.4016694654541828,0.5546527948873134,0.5120879513281107,-0.6792077728800092,0.7420738947418717,0.6391344042893126,0.44683592760879987,0.6125530498969479,0.612553049896948,0.44683592760879953,0.6125530498969481,0.6125530498969483
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,0.4592060535400196,0.4737286093265102,0.0829998160861375,1.0350695150852658,-0.08486911648070146,-1.1742007602630395,1.5045134067783403,-1.0388011424180428,-1.4016694654541817,-0.09256994792772753,0.781503315639944,-1.0758964274030898,1.3638859589907049,0.7928387205687742,0.7164404223227753,High,2,1,1.8150779933081982,0.6125530498969481,0.45920605354001925,0.47372860932651023,0.08299981608613684,1.0350695150852653,-0.084869116480701,-1.1742007602630395,1.5045134067783397,-1.0388011424180428,-1.4016694654541828,-0.0925699479277279,0.7815033156399439,-1.0758964274030902,1.3638859589907044,0.7928387205687933,-0.40535077038027967,0.6125530498969479,0.612553049896948,-0.4053507703802802,0.6125530498969481,0.6125530498969483
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60.0,84,13.3,21,7940,74,-0.2965948381183774,-0.4296782811441906,-0.4836392714989347,0.7767056047201572,-0.5365208871280956,0.4213309517069193,-0.06129050338777985,0.4497726389260374,-0.3813083118461038,-0.8946430399991983,0.17540598418550252,-0.1449220622273889,0.004942020606680277,-0.15523320441133603,0.6615776081424937,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.2965948381183777,-0.42967828114419054,-0.48363927149893543,0.7767056047201567,-0.5365208871280952,0.42133095170691925,-0.06129050338778057,0.4497726389260378,-0.3813083118461048,-0.8946430399991986,0.1754059841855024,-0.14492206222738932,0.004942020606679884,-0.15523320441131697,-0.7657605354144992,0.6125530498969479,0.612553049896948,-0.7657605354144998,0.6125530498969481,0.6125530498969483
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79.0,87,15.3,32,9305,68,-0.22765560201479393,-0.09297484747023868,-0.1646626445757431,1.0350695150852658,-0.37337497544083403,-1.4050727970678636,0.6203181859620271,-1.0388011424180428,-2.184287331771188,0.3305429069207441,0.4255260215207906,0.3579040707316264,0.808539510579746,0.2560543018019544,0.8524072612470402,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.2276556020147943,-0.09297484747023861,-0.16466264457574378,1.0350695150852653,-0.3733749754408336,-1.4050727970678636,0.6203181859620265,-1.0388011424180428,-2.184287331771189,0.33054290692074373,0.4255260215207905,0.357904070731626,0.8085395105797456,0.25605430180197347,0.725258998719329,0.6125530498969479,0.612553049896948,0.7252589987193286,0.6125530498969481,0.6125530498969483
Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36.0,69,11.1,26,8127,55,-1.1587406089223402,-1.415598723356076,-1.2233767439261074,-0.04753313995778422,-0.36407914876959574,0.8777828514941316,-0.42384095974398683,0.7528645357434074,1.5037183500275915,-1.9645552609015684,-0.870204749794732,-0.7346353504225267,0.3918121831278882,-0.09264348370542107,0.6336032388663968,Low,0,1,-1.0987972149572356,0.6125530498969481,-1.1587406089223407,-1.415598723356076,-1.2233767439261083,-0.04753313995778462,-0.3640791487695953,0.8777828514941315,-0.42384095974398756,0.7528645357434078,1.5037183500275904,-1.9645552609015688,-0.8702047497947321,-0.7346353504225271,0.3918121831278878,-0.092643483705402,-0.9310989861334084,0.6125530498969479,0.612553049896948,-0.931098986133409,0.6125530498969481,0.6125530498969483
American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78.0,84,14.7,19,7355,69,-0.11921182884132073,-0.08073901855629047,-0.8081810446807128,-1.348494791392716,-0.6574084548327211,-0.09665544581816274,-0.3260741592092893,-0.6143252338289236,0.3122382660840021,0.2576999703306144,0.17540598418550252,0.21000461555961872,-0.16286735762255852,-0.36666846912669654,0.7697183098591549,Low,0,1,-1.0987972149572356,0.6125530498969481,-0.11921182884132107,-0.0807390185562904,-0.8081810446807136,-1.3484947913927166,-0.6574084548327207,-0.09665544581816281,-0.32607415920929,-0.6143252338289233,0.3122382660840011,0.25769997033061404,0.1754059841855024,0.2100046155596183,-0.1628673576225589,-0.36666846912667744,-0.005355165952557795,0.6125530498969479,0.612553049896948,-0.0053551659525582305,0.6125530498969481,0.6125530498969483
Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,75.0,98,8.4,63,21424,100,0.8893232109394398,-0.18018361318456771,-0.07465510641790439,2.2511270800650833,-0.15772880058231023,-2.1648813283667963,1.9588194643556514,0.8110292102757778,0.5896605358372503,0.0447497870211825,1.4683762334705521,-1.5262541109104928,2.4973679239732567,1.9215286780626208,0.23059042305904232,High,2,1,1.8150779933081982,0.6125530498969481,0.8893232109394394,-0.18018361318456763,-0.07465510641790508,2.251127080065083,-0.15772880058230979,-2.1648813283667963,1.9588194643556507,0.8110292102757782,0.5896605358372493,0.04474978702118213,1.4683762334705521,-1.5262541109104932,2.4973679239732562,1.92152867806264,-2.305357472247701,0.6125530498969479,0.612553049896948,-2.3053574722477017,0.6125530498969481,0.6125530498969483
Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48.0,61,12.1,14,7994,59,-0.26695793859455924,-0.27151619468698834,-0.06173493142114209,-0.337261774390416,-0.018846107556024245,-0.10986457730692725,0.043160357020957926,0.12378880488361321,-0.18660316336359328,-1.4960693268775773,-1.2980146652677276,-0.4612920948206636,-0.6263490551654358,-0.13692744445841787,0.7467105263157895,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.2669579385945596,-0.2715161946869883,-0.06173493142114278,-0.3372617743904164,-0.018846107556023787,-0.10986457730692732,0.04316035702095721,0.12378880488361355,-0.18660316336359428,-1.4960693268775778,-1.2980146652677276,-0.46129209482066397,-0.6263490551654363,-0.1369274444583988,-0.18446183290636645,0.6125530498969479,0.612553049896948,-0.18446183290636692,0.6125530498969481,0.6125530498969483
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62.0,66,11.5,18,10908,46,-0.337417254852237,-0.5373258201578683,-0.36419817095638113,-0.7737777547234982,-0.16240856128131098,-0.016465949345803112,0.01693315386092406,2.0174693819460012,0.18970517544918392,-0.7814483389667398,-1.0406490873905974,-0.6241683558478293,-0.2501326687269887,0.6341316323281305,0.6230088495575221,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.33741725485223734,-0.5373258201578682,-0.36419817095638185,-0.7737777547234986,-0.16240856128131054,-0.016465949345803185,0.016933153860923342,2.017469381946002,0.18970517544918292,-0.7814483389667402,-1.0406490873905974,-0.6241683558478297,-0.2501326687269891,0.6341316323281496,-0.9906583884629641,0.6125530498969479,0.612553049896948,-0.9906583884629647,0.6125530498969481,0.6125530498969483
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60.0,62,23.1,5,4010,34,0.7178245381154568,0.5245794989826329,0.8279144383421037,0.018775285270126344,0.7678833035549765,1.0229473237607476,-1.4912476731641928,-0.22914901677242944,1.0665053144911143,-0.8946430399991983,-1.2491515938109201,2.1030730059438842,-1.7484034784636024,-2.392427444312699,0.5652542372881356,Low,0,0,-1.0987972149572356,-1.6325116659989423,0.7178245381154564,0.524579498982633,0.8279144383421031,0.018775285270125945,0.7678833035549769,1.0229473237607476,-1.4912476731641935,-0.22914901677242913,1.0665053144911132,-0.8946430399991986,-1.2491515938109201,2.103073005943884,-1.748403478463603,-2.39242744431268,-1.28763480877705,-1.6325116659989425,-1.6325116659989423,-1.2876348087770506,-1.6325116659989423,-1.6325116659989423
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69.0,82,11.3,35,42926,48,-0.7884433412194426,-0.6038837360915813,-0.6469379804656546,0.08298682799864276,-1.0929995414317568,-1.501860118632481,1.2097565060734918,-1.0388011424180428,-0.18660316336359328,-0.3560631885270026,0.01651265888576715,-0.6792077728800088,1.0017342937327451,2.8359285989034007,0.9270687237026648,High,2,1,1.8150779933081982,0.6125530498969481,-0.7884433412194429,-0.6038837360915812,-0.6469379804656554,0.08298682799864236,-1.0929995414317564,-1.501860118632481,1.2097565060734912,-1.0388011424180428,-0.18660316336359428,-0.35606318852700297,0.01651265888576704,-0.6792077728800092,1.0017342937327447,2.8359285989034198,1.515035856113331,0.6125530498969479,0.612553049896948,1.515035856113331,0.6125530498969481,0.6125530498969483
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83.0,96,18.3,14,5854,70,1.343813280213956,1.3298299918327967,1.3977751754216614,-0.26074560260699386,1.4439936909590871,0.7531127343527558,-0.8939548716793383,-5.697849625357854,1.0665053144911143,0.6312170198691968,1.263654675854437,1.0645957340584027,-0.6263490551654358,-1.0519790977714143,0.6377683577191303,Low,0,0,-1.0987972149572356,-1.6325116659989423,1.3438132802139555,1.3298299918327967,1.397775175421661,-0.26074560260699425,1.4439936909590876,0.7531127343527557,-0.893954871679339,-5.697849625357855,1.0665053144911132,0.6312170198691964,1.263654675854437,1.0645957340584022,-0.6263490551654363,-1.0519790977713952,-0.9072308324291307,-1.6325116659989425,-1.6325116659989423,-0.9072308324291314,-1.6325116659989423,-1.6325116659989423
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55.0,65,12.7,25,6584,65,-0.9299547802480593,-0.8682224451128951,-0.8136481306779576,-0.26074560260699386,-0.421330000957384,0.5459681884012452,0.31216588242301735,-1.5123285343587667,0.6119709026638089,-1.161423662356272,-1.0947584403093151,-0.3016095177954872,0.31770887154146105,-0.6885623561691819,0.8336025848142165,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.9299547802480597,-0.868222445112895,-0.8136481306779584,-0.26074560260699425,-0.42133000095738354,0.5459681884012451,0.3121658824230166,-1.5123285343587667,0.6119709026638079,-1.1614236623562724,-1.0947584403093151,-0.3016095177954876,0.31770887154146066,-0.6885623561691628,0.5465255820153792,0.6125530498969479,0.612553049896948,0.5465255820153788,0.6125530498969481,0.6125530498969483
Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88.0,93,18.9,5,4602,48,1.8050545067903165,2.0423003159074957,1.9501463108363524,0.018775285270126344,1.9779981126152577,2.275071376769951,-0.6952962560826422,1.0362571162148249,1.1712343376226138,1.0280025774963892,0.9693375120855497,1.2000743836939878,-1.7484034784636024,-1.8724564615501094,0.8047466625029276,Low,0,0,-1.0987972149572356,-1.6325116659989423,1.805054506790316,2.0423003159074957,1.950146310836352,0.018775285270125945,1.9779981126152582,2.275071376769951,-0.6952962560826429,1.0362571162148253,1.1712343376226126,1.0280025774963888,0.9693375120855496,1.2000743836939873,-1.748403478463603,-1.8724564615500903,0.28695896987834874,-1.6325116659989425,-1.6325116659989423,0.28695896987834835,-1.6325116659989423,-1.6325116659989423
Arkansas College (Lyon College),Yes,708,334,166,46,74,530,182,8644,3922,500,800,79.0,88,12.6,24,14579,54,-0.7954533329846024,-1.3434452747136214,-1.153319452123974,1.1150339710778354,-1.4791601330324486,-0.3759536379958345,-0.341631090896846,-0.22914901677242944,-0.8318078970334455,0.3305429069207441,0.5120879513281108,-0.3280101887390996,0.24207061628816592,1.2454800341382144,0.4717514124293785,Low,0,1,-1.0987972149572356,0.6125530498969481,-0.7954533329846027,-1.3434452747136214,-1.153319452123975,1.115033971077835,-1.4791601330324482,-0.37595363799583453,-0.34163109089684673,-0.22914901677242913,-0.8318078970334465,0.33054290692074373,0.5120879513281107,-0.3280101887391,0.24207061628816554,1.2454800341382335,-1.6794520136341218,0.6125530498969479,0.612553049896948,-1.6794520136341227,0.6125530498969481,0.6125530498969483
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57.0,60,19.6,5,4739,48,0.06865542614588838,0.3806601293385439,0.7649233974867117,-0.9818731086748947,0.6357823096123657,0.6852340260347194,-2.232444194605243,-0.6143252338289236,-0.3813083118461038,-1.057488442042449,-1.3455990913496088,1.3559208750186327,-1.7484034784636024,-1.766610895038358,0.9971164936562861,Low,0,0,-1.0987972149572356,-1.6325116659989423,0.06865542614588803,0.38066012933854393,0.7649233974867111,-0.9818731086748952,0.6357823096123661,0.6852340260347193,-2.232444194605244,-0.6143252338289233,-0.3813083118461048,-1.0574884420424495,-1.3455990913496088,1.3559208750186322,-1.748403478463603,-1.766610895038339,2.383821266059252,-1.6325116659989425,-1.6325116659989423,2.383821266059252,-1.6325116659989423,-1.6325116659989423
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93.0,93,13.8,30,7100,88,0.26139861778642,0.3639030851511576,0.09825078894194458,-0.04753313995778422,-0.0842564643796792,0.47313795422238897,0.4939078687110157,-0.22914901677242944,-1.756532921293452,1.448076800235107,0.9693375120855497,-0.01650783055462927,0.6744919519989533,-0.46714618436082295,0.7962529274004684,Medium,1,1,0.3581403891754813,0.6125530498969481,0.26139861778641965,0.36390308515115766,0.09825078894194392,-0.04753313995778462,-0.08425646437967874,0.4731379542223889,0.493907868711015,-0.22914901677242913,-1.756532921293453,1.4480768002351065,0.9693375120855496,-0.016507830554629687,0.6744919519989528,-0.46714618436080385,0.2138355323026136,0.6125530498969479,0.612553049896948,0.2138355323026132,0.6125530498969481,0.6125530498969483
Auburn University-Main Campus,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85.0,91,16.7,18,6642,69,1.3703508845123415,1.6723286516496423,1.790742608060054,0.08298682799864276,1.7756338629517652,1.1150370759204198,-1.062974741569998,0.4497726389260374,0.965778853639158,0.7871378673668015,0.781503315639944,0.6941250685837765,-0.2501326687269887,-0.6623569194695326,0.8997085320614733,Low,0,0,-1.0987972149572356,-1.6325116659989423,1.370350884512341,1.6723286516496423,1.7907426080600535,0.08298682799864236,1.7756338629517656,1.1150370759204198,-1.0629747415699986,0.4497726389260378,0.965778853639157,0.7871378673668011,0.7815033156399439,0.6941250685837761,-0.2501326687269891,-0.6623569194695135,1.2101827190032493,-1.6325116659989425,-1.6325116659989423,1.210182719003249,-1.6325116659989423,-1.6325116659989423
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65.0,65,12.8,31,7836,58,-0.8625504017494298,-0.8745005511217011,-0.6238843987283929,-0.9818731086748947,0.11457941919631885,0.508575704131079,0.4718553163023066,0.05550628934752403,-0.48552498885819567,-0.6047051624414783,-1.0947584403093151,-0.27529199961519973,0.7420738947418721,-0.1910355503864039,0.7749244712990937,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.8625504017494301,-0.874500551121701,-0.6238843987283936,-0.9818731086748952,0.11457941919631931,0.5085757041310789,0.47185531630230587,0.05550628934752436,-0.48552498885819667,-0.6047051624414786,-1.0947584403093151,-0.2752919996152001,0.7420738947418717,-0.19103555038638484,0.03656551490424478,0.6125530498969479,0.612553049896948,0.036565514904244346,0.6125530498969481,0.6125530498969483
Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78.0,83,12.7,40,9220,71,0.14340853598738912,0.3390841574485213,0.11112463571943347,0.683476302864234,0.05235772629903182,-1.25035396304698,0.7869559166021637,0.05550628934752403,-0.7798785384917823,0.2576999703306144,0.09518189874570733,-0.3016095177954872,1.3055390172857926,0.23321436737028708,0.8823842469398616,Medium,1,1,0.3581403891754813,0.6125530498969481,0.14340853598738876,0.33908415744852133,0.1111246357194328,0.6834763028642336,0.05235772629903228,-1.25035396304698,0.786955916602163,0.05550628934752436,-0.7798785384917833,0.25769997033061404,0.09518189874570722,-0.3016095177954876,1.3055390172857921,0.23321436737030615,1.0265412891546135,0.6125530498969479,0.612553049896948,1.0265412891546133,0.6125530498969481,0.6125530498969483
Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66.0,70,10.4,30,6871,69,-0.7237133734481125,-0.5063832469003334,-0.42211799022486685,-0.18710169614595554,-0.3474176565522442,-0.06887772985913919,0.260667050015694,0.4497726389260374,-0.3389697533108387,-0.5439362728703399,-0.8106418143240208,-0.9318252596102692,0.6744919519989533,-0.5622427028191037,0.9526938239159002,Medium,1,1,0.3581403891754813,0.6125530498969481,-0.7237133734481128,-0.5063832469003333,-0.42211799022486757,-0.18710169614595593,-0.34741765655224377,-0.06887772985913926,0.2606670500156933,0.4497726389260378,-0.33896975331083967,-0.5439362728703402,-0.8106418143240209,-0.9318252596102696,0.6744919519989528,-0.5622427028190846,1.817691236436991,0.6125530498969479,0.612553049896948,1.817691236436991,0.6125530498969481,0.6125530498969483
